id	nom	cat	prix	palier	cle	statut	licence	origine	mots_cles	resume	urls
marker	Marker	2 · Docs, RAG, sortie structurée	materiel	B	non	absent	Apache-2.0 (39,5 k★, a migré depuis GPLv3)	1	marker marker docs rag sortie structur e corpus cli python m engine ingest pdf alimente le graphe d vidence gpu	PDF/EPUB/DOCX → markdown propre (layout-aware : colonnes, tableaux, équations). La porte d'entrée de `ETAT-DE-LART-PSYCHOLOGIE` et des arrêtés/DOC d'urbanisme vers le RAG.	https://github.com/datalab-to/marker https://pypi.org/project/marker-pdf/
docling	Docling (IBM)	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	MIT		docling ibm docling docs rag sortie structur e choix par d faut pour etat de lart psychologie pptx pdf m lang s cpu	Convertit PDF/DOCX/PPTX/HTML en markdown + JSON typé, robuste sur les documents de bureau. Alternative plus légère que Marker quand le GPU manque.	https://github.com/docling-project/docling https://docling-project.github.io/docling/
ocrmypdf	OCRmyPDF	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	MPL-2.0		ocrmypdf ocrmypdf docs rag sortie structur e pr traitement du corpus de reaserch engine cpu	Rend cherchable un PDF scanné (ajoute une couche texte), corrige l'inclinaison, déskew. Indispensable pour les documents anciens/arrêtés numérisés.	https://gitlab.cern.ch/ocrmypdf/ocrmypdf https://ocrmypdf.readthedocs.io
tesseract	Tesseract OCR	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	Apache-2.0	2	tesseract ocr tesseract docs rag sortie structur e src ocr js bouton lire cette image sur fichelieu et les flux cctv texte reaserch engine cpu	OCR d'image (capture CCTV, photo de panneau, plan, capture d'écran). Ce qui manque à la tour pour « lire » ce qu'elle voit.	https://github.com/tesseract-ocr/tesseract https://github.com/UB-Mannheim/tesseract/wiki
paddleocr	PaddleOCR	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	Apache-2.0 (88,9 k★)		paddleocr paddleocr docs rag sortie structur e rempla able avec tesseract derri re la m me interface src ocr js cpu	OCR moderne robuste (manuscrits, tableaux, multilingue, PP-OCRv5). Le choix qualité.	https://github.com/PaddlePaddle/PaddleOCR https://www.paddleocr.ai/latest/
libretranslate	LibreTranslate	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	AGPL-3.0	2	libretranslate libretranslate docs rag sortie structur e src i18n translatelocal js branch sur les fiches et les r sultats de recherche cpu	Traduction hors-ligne (API) : documents étrangers lus par la tour sans upload chez un tiers.	https://github.com/LibreTranslate/LibreTranslate https://libretranslate.com/docs
chonkie	Chonkie	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	MIT	1	chonkie chonkie docs rag sortie structur e reaserch engine l tape d ingestion d vidence avant l extraction cpu	Stratégies de découpe pour le RAG (token, sentence, recursive, semantic, late chunking) — la qualité de récupération se joue ici.	https://github.com/chonkie-ai/chonkie https://docs.chonkie.ai
qdrant	Qdrant	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	Apache-2.0	1	qdrant qdrant docs rag sortie structur e optionnel au dessous de 50 k chunks sinon lancedb cpu	Base vectorielle (Rust) pour corpus importants (100 k+ chunks), avec filtres temporels/méta — pratique pour un graphe d'évidence daté.	https://github.com/qdrant/qdrant https://qdrant.tech/documentation/
lancedb	LanceDB	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	Apache-2.0		lancedb lancedb docs rag sortie structur e reaserch engine engine persistence py store vectoriel local derri re l interface existante cpu	Vecteurs + colonnes typées **en fichiers**, sans serveur : le choix par défaut d'une tour. Zéro conteneur, zéro port.	https://github.com/lancedb/lancedb https://lancedb.com/docs
outlines	Outlines	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	Apache-2.0	1	outlines outlines docs rag sortie structur e reaserch engine chaque agent claims evidence conclusion sort du valid par schemas schema json cpu	Contraint la génération token par token → JSON **qui valide le schéma**, par construction. Fini le parsing fragile.	https://github.com/dottxt-ai/outlines https://dottxt-ai.github.io/outlines/
instructor	Instructor	2 · Docs, RAG, sortie structurée	materiel	A	non	absent	MIT	1	instructor instructor docs rag sortie structur e le pont propre entre les llm et les sch mas json du repo cpu	Sorties typées Pydantic + retries + validation, sur n'importe quel endpoint OpenAI-compatible → marche avec Ollama et LiteLLM.	https://github.com/567-labs/instructor https://python.useinstructor.com
dspy	DSPy	2 · Docs, RAG, sortie structurée	materiel	B	non	absent	MIT	1	dspy dspy docs rag sortie structur e reaserch engine optimiser la strat gie de d composition de question sur tes dossiers archiv s gpu	Optimise les prompts et les poids par programme (métrique → compilation) au lieu du tuning manuel.	https://github.com/stanfordnlp/dspy https://dspy.ai
langfuse	Langfuse	2 · Docs, RAG, sortie structurée	materiel	B	non	absent	MIT (core)	1	langfuse langfuse docs rag sortie structur e chaque agent du moteur met une trace nomm e le docs de l audit recommande de logger run context gpu	Observabilité des runs : traces par étape, coûts, evals, gestion de prompts. Ce qui rend `reaserch-engine` débogable.	https://github.com/langfuse/langfuse https://langfuse.com/self-hosting
spiderfoot	SpiderFoot	3 · OSINT infrastructures	materiel	A	non	absent	MIT (21,7 k★)		spiderfoot spiderfoot osint infrastructures r sultats entit s de inteltwin js ports services sous domaines d une collectivit d un site cpu	Collecte OSINT automatisée sur 200+ sources (domaine, IP, e-mail, empreinte d'infra), UI web + API + scans programmables.	https://github.com/smicallef/spiderfoot https://www.spiderfoot.net/documentation/
theharvester	theHarvester	3 · OSINT infrastructures	avec-compte	A	compte	absent	GPL-3.0		theharvester theharvester osint infrastructures phase de cadrage d un dossier reaserch engine cpu	E-mails + sous-domaines + hosts d'une organisation, en 5 minutes.	https://github.com/laramies/theHarvester
amass	Amass (OWASP)	3 · OSINT infrastructures	materiel	A	non	absent	Apache-2.0		amass owasp amass osint infrastructures alimente la carte des entit s infrastructures de la tour cpu	Énumération de sous-domaines la plus complète en free (brute + passif + JS).	https://github.com/owasp-amass/amass https://owasp-amass.com
maigret	Maigret	3 · OSINT infrastructures	materiel	A	non	absent	MIT (37,3 k★)		maigret maigret osint infrastructures uniquement sur des identifiants organisationnels entit publique service marque jamais sur une personne physique la ligne du projet amont est explicite cpu	Dossier de présence par pseudo sur 3000+ sites (professionnel : empreinte d'une organisation/marque).	https://github.com/soxoj/maigret https://maigret.readthedocs.io
exiftool	ExifTool	3 · OSINT infrastructures	materiel	A	non	absent	Perl Artistic		exiftool exiftool osint infrastructures bouton m tadonn es sur fichelieu alerte image sans g oloc potentiellement recadr e cpu	Métadonnées de fichiers (photo, PDF, capture) : géoloc, modèle d'appareil, dates, logiciel, historique de rédac.	https://exiftool.org
osint-framework	OSINT Framework	3 · OSINT infrastructures	materiel	ABC	non	reference	web		osint framework osint framework osint infrastructures le fichier de connecteurs devient la config lue par les agents ils savent quoi est gratuit cpu	Index arborescent de sources ouvertes (la carte mentale du métier). À absorber comme catalogue de connecteurs, pas comme outil.	https://osintframework.com https://github.com/lockfale/OSINT-Framework
maltego-ce	Maltego CE	3 · OSINT infrastructures	avec-compte	ABC	compte	reference	propriétaire (CE gratuit)		maltego ce maltego ce osint infrastructures non cpu	Graphe + transforms historique du domaine. Payant pour l'usage sérieux.	https://www.maltego.com/pricing/ https://www.maltego.com/continue-to-hub/?hub=https://www.maltego.com/editions/
opencti	OpenCTI	3 · OSINT infrastructures	materiel	ABC	non	reference	⚠️ NOASSERTION (vérifier la LICENSE du commit visé)		opencti opencti osint infrastructures non cpu	Plateforme de threat-intel (observable → infra → groupe). Très au-dessus du besoin d'une tour de veille.	https://github.com/OpenCTI-Platform/opencti https://docs.opencti.io/latest/deployment/installation/
gephi	Gephi	3 · OSINT infrastructures	materiel	A	non	reference	GPL-3.0		gephi gephi osint infrastructures exporter graph gexf depuis evidence graph py utile pour les pr sentations cpu	Visualisation/analyse de graphes (layout, métriques) pour explorer les liens sortis de SpiderFoot.	https://gephi.org https://github.com/gephi/gephi
esri-carto-tuiles	Tuiles Esri World Imagery + CARTO (déjà en place)	4 · Géoservices & imagerie de la tour	materiel	ABC	non	present	Esri (usage perso) / CARTO-OSM		tuiles esri world imagery carto d j en place esri carto tuiles g oservices imagerie de la tour base de tous les calques cpu	Le globe satellite et la carte routière de la tour, **sans clé** — l'avantage structurel de ton fork sur l'amont.	https://github.com/Sathancabrol/watchtower-mods (mapStackController.js) https://basemaps.cartocdn.com
photon-nominatim	Photon → Nominatim (géocodage sans clé, déjà en place)	4 · Géoservices & imagerie de la tour	materiel	ABC	non	present	OSM (ODbL)		photon nominatim g ocodage sans cl d j en place photon nominatim g oservices imagerie de la tour le c ur du va marseille cpu	Recherche de lieux de la tour, sans clé Google. Déjà remplacé dans tes mods (`locations.js`).	https://photon.komoot.io https://github.com/komoot/photon https://nominatim.org
cesium-ion	Cesium ion (tuiles 3D photoréalistes)	4 · Géoservices & imagerie de la tour	avec-compte	ABC	compte	partiel	Cesium (token gratuit usage perso)		cesium ion tuiles 3d photor alistes cesium ion g oservices imagerie de la tour src startgate js keysetup js d j con us pour a cpu	Upgrade visuel optionnel de la tour : 3D photoréaliste + terrain. Ton startGate « MODE PAYANT » est fait pour ça.	https://ion.cesium.com https://cesium.com/platform/cesium-for-unreal/cesium-ion-pricing https://github.com/Sathancabrol/watchtower-mods (keySetup.js)
opensky	OpenSky Network	4 · Géoservices & imagerie de la tour	avec-compte	ABC	compte	partiel	données ouvertes (compte = quota supérieur)		opensky network opensky g oservices imagerie de la tour d j trait par l amont ton fork cpu	Positions de vol (le calque avions de la tour / des amonts).	https://opensky-network.org https://opensky-network.org/monitor
aholo-viewer	aholo-viewer (Manycore)	5 · Rendu 3D réel (splats)	materiel	A	non	absent	MIT (1 k★)	11b	aholo viewer manycore aholo viewer rendu 3d r el splats nouveau calque splats dans displayoptions js partage d url via le pattern sharelink js cpu	Renderer 3DGS + mesh haute perf avec *Chunked Streaming LOD* (jusqu'à 1 Md splats en navigateur, WebGPU/WebGL2). Le saut visuel de la tour : friches/patrimoine/chantiers scannés dans le globe.	https://github.com/manycoretech/aholo-viewer https://aholojs.dev/en-US/manual/getting-started/ https://www.npmjs.com/package/@manycore/aholo-viewer
aholo-splat-transform	@manycore/aholo-splat-transform	5 · Rendu 3D réel (splats)	materiel	A	non	absent	MIT	11b	manycore aholo splat transform aholo splat transform rendu 3d r el splats pipeline scripts prepare splat sh appel par l agent apr s chaque capture cpu	CLI de préparation des splats : formats (SPZ optimisé), découpe en chunks/LOD pour le streaming, et **génération des collisions** (marcher dans le scan).	https://www.npmjs.com/package/@manycore/aholo-splat-transform https://github.com/manycoretech/aholo-viewer/tree/master/packages
brush	Brush	5 · Rendu 3D réel (splats)	materiel	C	non	absent	Apache-2.0 (5 k★)		brush brush rendu 3d r el splats scripts capture to globe sh photos splats lod calque de la tour gpu	Entraînement 3DGS/2DGS **local et gratuit** depuis tes photos/vidéos : tu n'achètes pas le scanner, tu produis les splats.	https://github.com/ArthurBrussee/brush https://github.com/ArthurBrussee/brush#installation
postshot	Postshot	5 · Rendu 3D réel (splats)	materiel	B	non	reference	gratuit (⚠️ licence à vérifier)		postshot postshot rendu 3d r el splats tape amont manuelle la tour consomme le spz gpu	GUI Windows capture → splats (le plus doux pour un non-technicien). Utile pour produire tes scans sans CLI.	https://github.com/PostshotApp/postshot-desktop https://www.postshot.ai
opensplat	OpenSplat / gsplat.tech	5 · Rendu 3D réel (splats)	materiel	ABC	non	reference	MIT		opensplat gsplat tech opensplat rendu 3d r el splats pr visualisation pendant le dev de src splats js cpu	Viewer + éditeur de splats dans le navigateur (nettoyage, cadrage, export) ; gsplat.tech pour visualiser des scans CC.	https://github.com/ElleXav/OpenSplat https://opensplattime.org https://gsplat.tech
aholo-platform	Aholo Platform (cloud)	5 · Rendu 3D réel (splats)	freemium	ABC	payant	reference	service propriétaire	11b	aholo platform cloud aholo platform rendu 3d r el splats non cpu	Génération de splats depuis images/vidéo sur le cloud du constructeur (la vidéo n°11 en parle comme accompagnement du repo).	https://www.aholo3d.com
faster-whisper	faster-whisper	6 · Voix (entendre / parler)	materiel	A	non	absent	MIT (25,2 k★)		faster whisper faster whisper voix entendre parler src voice sttlocal js file d attente transcription champ texte de chatconsole cpu	STT Python rapide (CTranslate2) pour transcrire mémos, radios, réunions. Plus simple à brancher que whisper.cpp si tu es déjà en Python.	https://github.com/SYSTRAN/faster-whisper
piper	Piper TTS	6 · Voix (entendre / parler)	materiel	A	non	absent	MIT (moteur) / voix CC-BY	4	piper tts piper voix entendre parler remplace la voix du navigateur dans freevoice js garde le web speech en repli si piper off cpu	TTS neural sur **CPU**, quasi instantané — la voix par défaut de la tour, choisie aussi par le projet `ada_local` pour ne pas consommer de VRAM.	https://github.com/rhasspy/piper https://huggingface.co/rhasspy/piper-voices https://github.com/OHF-Voice/piper1-gpl
qwen3-tts	Qwen3-TTS	6 · Voix (entendre / parler)	materiel	B	non	absent	Apache-2.0	7	qwen3 tts qwen3 tts voix entendre parler src voice ttslocal js piper par d faut qwen tts url si l endpoint r pond d tection au boot gpu	TTS open source SOTA (janv. 2026) : clonage de voix sur 3 s, design de voix par description, contrôle d'émotion/rythme, 10 langues **dont le français**, ~97 ms de latence, 0,6 B ≈ 4 Go VRAM.	https://github.com/QwenLM/Qwen3-TTS https://huggingface.co/spaces/Qwen/Qwen3-TTS https://github.com/groxaxo/Qwen3-TTS-Openai-Fastapi https://github.com/flybirdxx/ComfyUI-Qwen-TTS
kokoro	Kokoro-82M	6 · Voix (entendre / parler)	materiel	A	non	reference	Apache-2.0		kokoro 82m kokoro voix entendre parler candidat n 2 pour ttslocal js cpu	TTS ultra-léger (82 M) avec voix FR, tourne sur CPU correctement. Bon compromis entre Piper (moche) et Qwen (GPU).	https://github.com/resemble-ai/kokoro https://huggingface.co/hexgrad/Kokoro-82M
openwakeword	openWakeWord	6 · Voix (entendre / parler)	materiel	A	non	absent	Apache-2.0		openwakeword openwakeword voix entendre parler src voice wakeword js worker micro en continu z ro cloud cpu	Mot d'éveil hors-ligne (« tour », « veille »…) : ce qui manque pour que la voix de la tour soit utilisable sans bouton.	https://github.com/dscripka/openWakeWord https://github.com/dscripka/openWakeWord/releases
hermes-agent	Hermes Agent (Nous Research)	7 · Agents, chat, automatisation	materiel	A	non	absent	MIT (241 k★)		hermes agent nous research hermes agent agents chat automatisation le moteur de recherche devient un skill l agent ex cute le moteur garde la v rit principe de ton doc ne pas refaire un framework cpu	Agent auto-améliorant : skills persistés, mémoire 3 couches, outils, MCP, 15+ fournisseurs de modèles dont Ollama. **C'est le runtime que `reaserch-engine/docs/ARCHITECTURE_HERMES_INTEGRATION.md` vise déjà.**	https://github.com/NousResearch/hermes-agent https://hermes-agent.nousresearch.com/docs/
openclaw	OpenClaw	7 · Agents, chat, automatisation	materiel	A	non	reference	⚠️ vérifier la LICENSE courante (GitHub: NOASSERTION)		openclaw openclaw agents chat automatisation concurrent de hermes choisir un runtime hermes skills appris mit clair openclaw messageries always on cpu	Agent personnel « always-on » (gateway 18789, messageries, skills, cron). Très populaire en 2026.	https://github.com/openclaw/openclaw https://docs.openclaw.ai
openhands	OpenHands	7 · Agents, chat, automatisation	materiel	B	non	reference	MIT	2	openhands openhands agents chat automatisation les t ches de refactor lourdes p1 p5 peuvent lui tre confi es sous revue de diff gpu	Agent de code autonome (edite, exécute, teste) : le remplaçant libre de Cursor/Claude Code pour les grosses mécaniques.	https://github.com/All-Hands-AI/OpenHands https://docs.all-hands.dev
open-webui	Open WebUI	7 · Agents, chat, automatisation	materiel	A	non	absent	BSD-3 (+ clause de marque >50 users)	2	open webui open webui agents chat automatisation console humaine de la tour reaserch engine peut y lire des knowledge bases cpu	ChatGPT local dans le navigateur : multi-modèles, RAG sur tes fichiers, outils/fonctions, pipelines. L'interface humaine au-dessus d'Ollama.	https://github.com/open-webui/open-webui https://docs.openwebui.com/getting-started/quick-start/
jan	Jan	7 · Agents, chat, automatisation	materiel	A	non	reference	Apache-2.0 (40 k★)		jan jan agents chat automatisation repli de confort quand ollama n est pas voulu cpu	App desktop 100 % offline, MCP, gestion de modèles GGUF. L'alternative « je veux un .exe propre et libre ».	https://github.com/menloresearch/jan https://jan.ai/download
activepieces	Activepieces	7 · Agents, chat, automatisation	materiel	A	non	absent	MIT	2	activepieces activepieces agents chat automatisation peut d clencher l api de la tour publier l tat quotidien dans un canal et lancer reaserch engine sur des sujets cpu	Automatisation (le « boring » qui rapporte dans la vidéo n°3) : veille de flux, triage de boîte mail, briefing matin, alertes Telegram, runs illimités en self-host. **MIT là où n8n est fair-code.**	https://github.com/activepieces/activepieces https://docs.activepieces.com/docs/activepieces/setup/installation
n8n	n8n	7 · Agents, chat, automatisation	materiel	A	non	reference	⚠️ fair-code (Sustainable Use, non-OSI)		n8n n8n agents chat automatisation pas de d pendance dans la tour si besoin passer par notre couche audit stack flows agnostique cpu	Automatisation la plus populaire ; la vidéo n°3 la donne comme outil de métier.	https://github.com/n8n-io/n8n https://docs.n8n.io/hosting/
scriberr	Scriberr	6 · Voix (entendre / parler)	materiel	A	non	reference	MIT (3 k★)	2	scriberr scriberr voix entendre parler peut servir de voutre de transcriptions index e par le rag cpu	Transcription de réunions/audios en Docker (Whisper dedans) : si tu veux une UI de transcription sans écrire le pont.	https://github.com/rishikanthc/Scriberr https://scriberr.app
reticulum	Reticulum (RNS)	8 · Communications hors-réseau	materiel	A	non	absent	AGPL-3.0 (logiciel)	9	reticulum rns reticulum communications hors r seau src meshnodes js afficher les n uds announced rmap l tat du canal dans le globe la tour peut envoyer une alerte par reticulum quand internet tombe cpu	Stack réseau chiffrée multi-média (LoRa, Wi-Fi, TCP, HF) sans IP, par destinations cryptographiques. Canal de secours pair-à-pair, auto-hébergé par la tour.	https://github.com/softwaregroupdm/reticulum https://reticulum.network https://rmap.world https://github.com/buildwithparallel/crosstalk https://columba.network
meshtastic	Meshtastic	8 · Communications hors-réseau	option-publique	ABC	payant	reference	GPL-3.0 (fw/apps) + matériel	10	meshtastic meshtastic communications hors r seau calque contacts mesh sur le globe alertes de la tour qui partent par mesh quand le net tombe cpu	Mesh LoRa texte longue portée : 1 repeater + 3 radios ≈ 100 acres ; mesh municipal autonome (Austin). Zéro abonnement.	https://meshtastic.org https://github.com/meshtastic/firmware https://meshtastic.org/docs/getting-started/hardware-suggestions/
rtl-sdr	RTL-SDR (option réception locale)	8 · Communications hors-réseau	materiel	ABC	non	reference	matériel ~30 € + logiciels libres		rtl sdr option r ception locale rtl sdr communications hors r seau calque avions vaisseau source locale valeur souveraine norme pour 30 cpu	Recevoir ADS-B (avions), AIS (navires), météo, poches radio **chez toi** : transforme la tour en nœud de données au lieu d'emprunté à un tiers.	https://www.rtl-sdr.com/buyers-guide/ https://github.com/wiedehopf/tar1090 https://github.com/adsb-feeder
ai-memory-vault	ai-memory-vault (jaredrhod)	9 · Mémoire, stockage, sauvegarde	materiel	ABC	non	reference	CC-BY-SA-4.0		ai memory vault jaredrhod ai memory vault m moire stockage sauvegarde hcsm crit son tat t0 dans memory reaserch engine y puise le contexte persistant cpu	Mémoire d'agent **en markdown dans un vault Obsidian, sans base vectorielle** : patterns (profil, tâches, décisions, leçons). Le modèle à copier pour `HCSM`/`Cognitorium`.	https://github.com/jaredrhod/ai-memory-vault
obsidian	Obsidian	9 · Mémoire, stockage, sauvegarde	materiel	ABC	non	reference	propriétaire gratuit (usage perso)		obsidian obsidian m moire stockage sauvegarde aucune api n cessaire les agents lisent crivent les fichiers obsidian n est qu un il cpu	Éditeur/visualiseur du vault markdown : c'est l'UI humaine de la mémoire de la tour.	https://obsidian.md https://help.obsidian.md
syncthing	Syncthing	9 · Mémoire, stockage, sauvegarde	materiel	A	non	reference	MPL-2.0		syncthing syncthing m moire stockage sauvegarde sauvegarde des 40 go de mod les non sauvegarde des donn es produites oui cpu	Synchro/duplication P2P des dossiers de la tour (corpus, mémoire, scans 3D) vers NAS/portable, sans cloud.	https://github.com/syncthing/syncthing https://syncthing.net
sqlite-vec	SQLite + sqlite-vec	9 · Mémoire, stockage, sauvegarde	materiel	A	non	reference	MIT/Apache-2.0		sqlite sqlite vec sqlite vec m moire stockage sauvegarde persistence py du moteur a d j un store json ce n est qu un palier au dessus cpu	La base « un fichier » avec recherche vectorielle : l'option la plus légère si LanceDB/Qdrant sont trop.	https://github.com/asg017/sqlite-vec https://www.sqlite.org/intro.html
ada-local	ada_local (Naz Louis)	10 · Références, modèles et pièges à éviter	materiel	B	non	reference	❌ aucune licence (tous droits réservés)	4	ada local naz louis ada local r f rences mod les et pi ges viter mod le de src ai router js env router on off gpu	Référence **d'architecture** : routeur FunctionGemma 270 M (fine-tuné sur 200 exemples → 95 % de précision de routage, 1,0 s) → Qwen3 think/no-think → Piper sur CPU. C'est LE patron « moindre coût ».	https://github.com/nazirlouis/ada_local https://huggingface.co/nlouis/ada_model https://www.youtube.com/watch?v=7ffF3fumhcQ
mark-lii	Mark-LII (FatihMakes)	10 · Références, modèles et pièges à éviter	avec-compte	ABC	compte	reference	❌ aucune licence dans le repo (GitHub: NOASSERTION)	6	mark lii fatihmakes mark lii r f rences mod les et pi ges viter notre src plugins dans la tour avec la m me r gle un plugin cass ne tue pas l app try catch par module cpu	Référence UX du « Jarvis PC » : système de plugins (1 fichier = 1 compétence), awareness audio (savoir qu'on ne lui parle pas), sessions longues, écran + webcam.	https://github.com/FatihMakes/Mark-LII https://aistudio.google.com/apikey https://www.youtube.com/watch?v=u6c-6RF6J_g
gods-eye-view	God's Eye View (amont de ta tour)	4 · Géoservices & imagerie de la tour	materiel	ABC	non	partiel	⚠️ README dit MIT, l'API GitHub renvoie NOASSERTION	12	god s eye view amont de ta tour gods eye view g oservices imagerie de la tour c est la base de la tour l audit 0 d crit ce qui en a d j t d riv cpu	Le projet amont (17,9 k★) que ton fork adapte : globe + couches live + voix. Ta valeur ajoutée = le MODE GRATUIT sans clé et les modules FR.	https://github.com/bilawalsidhu/gods-eye-view https://www.youtube.com/watch?v=GRJaKcXZS94
jared-fullstack	fullstack-agent (jaredrhod)	10 · Références, modèles et pièges à éviter	payant	ABC	payant	reference	AGPL-3.0		fullstack agent jaredrhod jared fullstack r f rences mod les et pi ges viter mod le d ux de l installeur rien de plus cpu	Installeur « tout-en-un » dont parle la vidéo n°5 : memory-vault + visualizer + backtalk + barehands.	https://github.com/jaredrhod/fullstack-agent
tiers-gratuits-llm	API LLM gratuites (secours, avec compte)	10 · Références, modèles et pièges à éviter	avec-compte	ABC	compte	reference	CGU des fournisseurs		api llm gratuites secours avec compte tiers gratuits llm r f rences mod les et pi ges viter src ai llmclient js local d abord if cloud fallback conscient avec banni re d avertissement dans l ui cpu	Filet quand le modèle local est trop court : raisonnement long, gros contexte, réécriture. ⚠️ ne jamais y envoyer de données sensibles.	https://console.groq.com/keys https://openrouter.ai/models?q=free https://aistudio.google.com/apikey https://ai.azure.com/... (GitHub Models : https://github.com/features/models) https://cerebras.ai
pistes-evitees	À éviter (payant ou lock-in)	10 · Références, modèles et pièges à éviter	payant	ABC	payant	reference	—		viter payant ou lock in pistes evitees r f rences mod les et pi ges viter cette table n gative est celle que les agents doivent consulter avant d ajouter une d pendance payante cpu	Liste négative : ce que les vidéos vendent comme « gratuit » et qui ne l'est pas (ou pas durable).	https://elevenlabs.io/pricing https://www.maltego.com/pricing/ https://www.spiderfoot.net/pricing/ https://app.make.com/pricing https://www.retellai.com/pricing https://lampyre.io/pricing https://si.social-links.io https://intelligencex.io https://www.whop.com/fatihmakes/ https://www.patreon.com/cw/NazLouisYT
